n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_reason,baseline_D,after_D,improvement_ratio,runtime_seconds
100000,100000042,2,4,0.021739130434782608,3.9130434782608696,25555.555555555555,4,0.02564102564102564,3.8974358974358974,25657.894736842107,500,250,16,46,1,1,3,True,True,weak_growth,25555.555555555555,25657.894736842107,0.9960113960113959,25.665944600012153
100000,100000042,3,4,0.0,4.0,25000.0,,,,,500,250,16,42,0,0,4,False,True,weak_growth,25000.0,,,25.665944600012153
100000,100000042,4,4,0.0,4.0,25000.0,,,,,500,250,16,42,0,0,4,False,True,weak_growth,25000.0,,,25.665944600012153
100000,100000042,5,4,0.0,4.0,25000.0,,,,,500,250,16,42,0,0,4,False,True,weak_growth,25000.0,,,25.665944600012153
100000,100000043,1,4,0.07407407407407407,3.7037037037037037,27000.0,4,0.07692307692307693,3.6923076923076925,27083.333333333332,500,250,16,27,2,2,2,True,True,weak_growth,27000.0,27083.333333333332,0.996923076923077,29.075368999969214
100000,100000043,2,4,0.07407407407407407,3.7037037037037037,27000.0,4,0.07692307692307693,3.6923076923076925,27083.333333333332,500,250,16,27,2,2,2,True,True,weak_growth,27000.0,27083.333333333332,0.996923076923077,29.075368999969214
100000,100000043,3,4,0.07407407407407407,3.7037037037037037,27000.0,,,,,500,250,16,27,2,2,2,False,True,weak_growth,27000.0,,,29.075368999969214
100000,100000043,4,4,0.07407407407407407,3.7037037037037037,27000.0,,,,,500,250,16,27,2,2,2,False,True,weak_growth,27000.0,,,29.075368999969214
100000,100000043,5,4,0.07407407407407407,3.7037037037037037,27000.0,,,,,500,250,16,27,2,2,2,False,True,weak_growth,27000.0,,,29.075368999969214
100000,100000044,1,4,0.05405405405405406,3.7837837837837838,26428.571428571428,13,0.045871559633027525,12.403669724770642,8062.130177514793,500,250,16,37,2,2,2,True,True,weak_growth,26428.571428571428,8062.130177514793,3.278112712975098,25.133513699984178
100000,100000044,2,4,0.02564102564102564,3.8974358974358974,25657.894736842107,23,0.03153153153153153,22.274774774774773,4489.38321536906,500,250,16,39,1,1,3,True,True,weak_growth,25657.894736842107,4489.38321536906,5.715238264580369,25.133513699984178
100000,100000044,3,4,0.0,4.0,25000.0,,,,,500,250,16,55,0,0,4,False,True,weak_growth,25000.0,,,25.133513699984178
100000,100000044,4,4,0.0,4.0,25000.0,,,,,500,250,16,55,0,0,4,False,True,weak_growth,25000.0,,,25.133513699984178
