n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,min_useful_growth,topdown_bias,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_level,trigger_reason,ratio_54,ratio_43,useful_IG_G3,useful_IG_G4,useful_IG_G5,baseline_D,after_D,improvement_ratio,runtime_seconds
100000,100000042,4,4,0.0,4.0,25000.0,4,0.021739130434782608,3.9130434782608696,25555.555555555555,500,250,16,1.05,2.0,42,0,0,4,True,True,4,weak_growth,1.0,1.0,4.0,4.0,4.0,25000.0,25555.555555555555,0.9782608695652174,20.38462739996612
100000,100000042,5,4,0.0,4.0,25000.0,4,0.021739130434782608,3.9130434782608696,25555.555555555555,500,250,16,1.05,2.0,42,0,0,4,True,True,4,weak_growth,1.0,1.0,4.0,4.0,4.0,25000.0,25555.555555555555,0.9782608695652174,20.38462739996612
100000,100000043,1,4,0.07407407407407407,3.7037037037037037,27000.0,,,,,500,250,16,1.05,2.0,27,2,2,2,False,False,,,1.0,1.0,3.7037037037037037,3.7037037037037037,3.7037037037037037,27000.0,,,20.786348699999508
100000,100000043,2,4,0.07407407407407407,3.7037037037037037,27000.0,,,,,500,250,16,1.05,2.0,27,2,2,2,False,False,,,1.0,1.0,3.7037037037037037,3.7037037037037037,3.7037037037037037,27000.0,,,20.786348699999508
100000,100000043,3,4,0.07407407407407407,3.7037037037037037,27000.0,,,,,500,250,16,1.05,2.0,27,2,2,2,False,False,,,1.0,1.0,3.7037037037037037,3.7037037037037037,3.7037037037037037,27000.0,,,20.786348699999508
100000,100000043,4,4,0.07407407407407407,3.7037037037037037,27000.0,4,0.07692307692307693,3.6923076923076925,27083.333333333332,500,250,16,1.05,2.0,27,2,2,2,True,True,4,weak_growth,1.0,1.0,3.7037037037037037,3.7037037037037037,3.7037037037037037,27000.0,27083.333333333332,0.996923076923077,20.786348699999508
100000,100000043,5,4,0.07407407407407407,3.7037037037037037,27000.0,4,0.07692307692307693,3.6923076923076925,27083.333333333332,500,250,16,1.05,2.0,27,2,2,2,True,True,4,weak_growth,1.0,1.0,3.7037037037037037,3.7037037037037037,3.7037037037037037,27000.0,27083.333333333332,0.996923076923077,20.786348699999508
100000,100000044,1,4,0.05405405405405406,3.7837837837837838,26428.571428571428,,,,,500,250,16,1.05,2.0,37,2,2,2,False,False,,,1.0,1.0,4.0,4.0,4.0,26428.571428571428,,,20.26900149998255
100000,100000044,2,4,0.02564102564102564,3.8974358974358974,25657.894736842107,,,,,500,250,16,1.05,2.0,39,1,1,3,False,False,,,1.0,1.0,4.0,4.0,4.0,25657.894736842107,,,20.26900149998255
100000,100000044,3,4,0.0,4.0,25000.0,,,,,500,250,16,1.05,2.0,55,0,0,4,False,False,,,1.0,1.0,4.0,4.0,4.0,25000.0,,,20.26900149998255
