task,case,seed,mode,w_g,success,verified,decision_steps,forced_steps,score_calls
Vertex Cover,2,45,weighted_G_0.1_depth2,0.1,True,True,18,0,17384
Vertex Cover,2,45,weighted_G_0.2_depth2,0.2,True,True,18,0,17384
Vertex Cover,2,45,weighted_G_0.4_depth2,0.4,True,True,18,0,17384
Vertex Cover,2,45,LG_depth2,1.0,True,True,18,0,15090
Vertex Cover,3,46,L_depth2,0.0,True,True,18,0,17380
Vertex Cover,3,46,weighted_G_0.1_depth2,0.1,True,True,18,0,17380
Vertex Cover,3,46,weighted_G_0.2_depth2,0.2,True,True,18,0,17380
Vertex Cover,3,46,weighted_G_0.4_depth2,0.4,True,True,18,0,17380
Vertex Cover,3,46,LG_depth2,1.0,True,True,18,0,15544
Vertex Cover,4,47,L_depth2,0.0,True,True,18,0,17356
Vertex Cover,4,47,weighted_G_0.1_depth2,0.1,True,True,18,0,17356
Vertex Cover,4,47,weighted_G_0.2_depth2,0.2,True,True,18,0,17356
Vertex Cover,4,47,weighted_G_0.4_depth2,0.4,True,True,18,0,17356
Vertex Cover,4,47,LG_depth2,1.0,True,True,18,0,15568
Vertex Cover,5,48,L_depth2,0.0,False,False,18,0,18220
Vertex Cover,5,48,weighted_G_0.1_depth2,0.1,False,False,18,0,18220
Vertex Cover,5,48,weighted_G_0.2_depth2,0.2,False,False,18,0,18220
Vertex Cover,5,48,weighted_G_0.4_depth2,0.4,True,True,18,0,17732
Vertex Cover,5,48,LG_depth2,1.0,True,True,18,0,12344
Vertex Cover,6,49,L_depth2,0.0,True,True,18,0,17652
Vertex Cover,6,49,weighted_G_0.1_depth2,0.1,True,True,18,0,17652
Vertex Cover,6,49,weighted_G_0.2_depth2,0.2,True,True,18,0,17652
Vertex Cover,6,49,weighted_G_0.4_depth2,0.4,True,True,18,0,17652
Vertex Cover,6,49,LG_depth2,1.0,True,True,18,0,14048
Vertex Cover,7,50,L_depth2,0.0,True,True,18,0,17648
Vertex Cover,7,50,weighted_G_0.1_depth2,0.1,True,True,18,0,17648
Vertex Cover,7,50,weighted_G_0.2_depth2,0.2,True,True,18,0,17648
Vertex Cover,7,50,weighted_G_0.4_depth2,0.4,True,True,18,0,17648
Vertex Cover,7,50,LG_depth2,1.0,True,True,18,0,14970
Vertex Cover,8,51,L_depth2,0.0,True,True,18,0,17368
Vertex Cover,8,51,weighted_G_0.1_depth2,0.1,True,True,18,0,17368
Vertex Cover,8,51,weighted_G_0.2_depth2,0.2,True,True,18,0,17368
Vertex Cover,8,51,weighted_G_0.4_depth2,0.4,True,True,18,0,17368
Vertex Cover,8,51,LG_depth2,1.0,True,True,18,0,15614
Vertex Cover,9,52,L_depth2,0.0,True,True,18,0,17652
Vertex Cover,9,52,weighted_G_0.1_depth2,0.1,True,True,18,0,17652
Vertex Cover,9,52,weighted_G_0.2_depth2,0.2,True,True,18,0,17652
Vertex Cover,9,52,weighted_G_0.4_depth2,0.4,False,False,18,0,18220
Vertex Cover,9,52,LG_depth2,1.0,True,True,18,0,14476
Vertex Cover,10,53,L_depth2,0.0,True,True,18,0,17648
